,model,version,channels,beta,init,num_unique,num_valid,num_valid_unique,frac_unique,frac_valid,frac_valid_unique,frac_valid_atoms,frac_valid_H,frac_valid_C,frac_valid_N,frac_valid_O,frac_valid_F,js_divergence,H,C,N,O,F,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,CC_0.0,CC_0.5,CC_1.0,CC_1.5,CC_2.0,CC_2.5,CC_3.0,CC_3.5,CC_4.0,CC_4.5,CC_5.0,CC_5.5,CC_6.0,CC_6.5,CC_7.0,CC_7.5,CC_8.0,CC_8.5,CC_9.0,CC_9.5,CC_10.0,CC_10.5,CC_11.0,CC_11.5,CC_12.0,CC_12.5,CC_13.0,CC_13.5,CC_14.0,CC_14.5,CH_0.0,CH_0.5,CH_1.0,CH_1.5,CH_2.0,CH_2.5,CH_3.0,CH_3.5,CH_4.0,CH_4.5,CH_5.0,CH_5.5,CH_6.0,CH_6.5,CH_7.0,CH_7.5,CH_8.0,CH_8.5,CH_9.0,CH_9.5,CH_10.0,CH_10.5,CH_11.0,CH_11.5,CH_12.0,CH_12.5,CH_13.0,CH_13.5,CH_14.0,CH_14.5,CO_0.0,CO_0.5,CO_1.0,CO_1.5,CO_2.0,CO_2.5,CO_3.0,CO_3.5,CO_4.0,CO_4.5,CO_5.0,CO_5.5,CO_6.0,CO_6.5,CO_7.0,CO_7.5,CO_8.0,CO_8.5,CO_9.0,CO_9.5,CO_10.0,CO_10.5,CO_11.0,CO_11.5,CO_12.0,CO_12.5,CO_13.0,CO_13.5,CO_14.0,CO_14.5
10,nequip,6,64,10,CH3,63,16,16,0.984375,0.25,0.25,0.8251618871415356,0.9914529914529915,0.6584615384615384,0.6594594594594595,0.8932038834951457,,0.008165816083360712,475,330,188,105,0,25,71,1074,483,1629,939,1315,958,914,620,455,304,222,149,102,60,33,19,12,5,1,0,0,0,0,0,0,0,0,0,8,6,71,43,245,97,64,52,69,47,23,16,12,4,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,406,67,335,282,519,178,228,187,133,73,52,44,24,14,9,6,4,0,0,0,0,0,0,0,0,0,0,0,1,6,115,15,61,76,105,75,13,27,30,21,10,10,6,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0
11,nequip,6,64,10,C6H5,28,13,13,0.4375,0.203125,0.203125,0.9138513513513513,0.9855595667870036,0.8671875,0.6071428571428571,0.9354838709677419,,0.012065706182679771,574,518,35,42,0,7,33,1108,301,2046,1037,1331,936,960,1021,592,461,254,152,116,48,41,21,14,8,6,4,0,0,0,0,0,0,0,0,3,3,406,98,431,376,61,178,127,67,56,40,17,15,9,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,554,19,955,403,963,431,354,502,191,117,99,52,39,17,11,6,2,3,2,0,0,0,0,0,0,0,0,0,1,1,49,14,38,24,37,39,42,33,35,26,11,10,5,5,3,4,4,2,0,0,0,0,0,0,0,0,0,0
12,nequip,6,64,100,CH3,29,3,3,0.453125,0.046875,0.046875,0.8035087719298246,0.932,0.672316384180791,0.6527777777777778,0.8309859154929577,,0.012406506122371127,532,353,142,176,0,14,39,1112,524,1761,1073,1728,918,1055,683,660,546,433,256,106,25,27,10,8,6,5,2,1,0,0,0,0,0,0,0,2,10,32,91,275,44,97,37,18,99,72,62,8,3,4,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,11,12,463,55,473,221,656,97,274,177,217,177,98,88,13,10,6,6,3,2,3,0,0,0,0,0,0,0,0,0,0,1,193,44,28,156,188,94,26,59,56,79,28,4,2,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0
13,nequip,6,64,100,C6H5,4,3,3,0.0625,0.046875,0.046875,0.925,1.0,0.8888888888888888,0.75,0.5,,0.011954648615906241,526,464,12,10,0,1,3,953,252,1659,815,1032,658,702,757,354,291,86,36,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,390,71,398,325,17,144,79,16,14,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,514,7,856,328,873,345,328,411,87,47,30,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,10,18,1,9,11,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,nequip,6,64,1000,CH3,27,1,1,0.421875,0.015625,0.015625,0.7558823529411764,1.0,0.4977973568281938,0.4827586206896552,0.7528089887640449,,0.02680062111249277,602,412,132,200,0,8,174,1282,844,1968,1262,1772,1000,1134,956,1052,884,700,460,198,60,52,56,24,24,20,8,12,4,8,0,0,0,0,0,8,80,62,176,264,46,64,60,14,150,170,102,0,12,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,86,554,184,594,340,590,114,274,232,372,302,198,154,16,16,12,4,4,4,4,0,0,4,0,0,0,0,0,0,0,0,252,56,34,184,202,94,56,86,122,96,70,8,12,4,4,8,8,0,0,4,0,0,0,0,0,0,0,0
15,nequip,6,64,1000,C6H5,1,1,1,0.015625,0.015625,0.015625,1.0,1.0,1.0,,,,0.022408929089201952,512,448,0,0,0,0,0,896,256,1536,768,896,576,640,640,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,64,384,320,0,128,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,832,320,832,320,320,384,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,nequip,6,128,1,CH3,64,4,4,1.0,0.0625,0.0625,0.5667976424361493,0.8842592592592593,0.25806451612903225,0.25925925925925924,0.5864661654135338,,0.02741052995715742,432,372,81,133,0,100,259,934,1030,1321,1378,1031,991,609,414,184,97,45,35,8,7,3,4,3,1,0,0,0,0,0,0,0,0,0,0,23,34,112,243,161,216,102,100,43,40,6,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,72,430,176,506,475,323,312,163,128,42,25,13,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,131,78,179,119,108,96,52,37,11,13,4,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
17,nequip,6,128,1,C6H5,64,0,0,1.0,0.0,0.0,0.583547557840617,0.8238636363636364,0.36174242424242425,0.21739130434782608,0.5681818181818182,,0.016590261693759534,528,528,23,88,0,178,292,1247,670,2088,1203,1364,1078,809,741,384,285,162,86,69,31,22,10,7,4,0,0,0,0,0,0,0,0,0,0,53,29,498,155,515,371,97,166,81,43,41,19,23,7,9,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,7,140,505,202,921,371,935,524,193,290,131,62,59,32,23,8,7,6,3,2,0,0,0,0,0,0,0,0,0,0,9,34,65,85,71,103,85,90,61,38,38,5,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,nequip,6,128,10,CH3,57,19,19,0.890625,0.296875,0.296875,0.7678571428571429,0.9397590361445783,0.5513196480938416,0.6037735849056604,0.7413793103448276,,0.015602491423477149,545,376,60,128,0,45,156,918,962,1451,1812,1353,1319,858,426,263,140,78,30,21,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,87,251,193,237,106,62,43,18,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,521,149,598,825,442,348,227,108,75,33,19,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,144,69,170,136,113,83,45,29,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,nequip,6,128,10,C6H5,62,2,2,0.96875,0.03125,0.03125,0.7069486404833837,0.9522240527182867,0.5236427320490368,0.14893617021276595,0.5252525252525253,,0.010981544955987226,627,587,47,101,0,103,205,1425,747,2442,1553,1673,1429,1217,1311,849,606,364,196,156,63,41,8,1,2,0,0,0,0,0,0,0,0,0,0,17,42,470,195,540,441,138,259,189,84,85,40,45,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,663,123,1011,564,1065,601,436,604,271,143,167,82,56,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,10,37,120,75,147,112,100,112,76,82,45,10,15,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
